season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2018,Big East Conference,"Wed, Dec 27, 2017",DePaul,,Villanova,,85,103,N
2018,Big East Conference,"Wed, Dec 27, 2017",Georgetown,,Butler,,89,91,N
2018,Big East Conference,"Wed, Dec 27, 2017",Marquette,,Xavier,,87,91,N
2018,Big East Conference,"Thu, Dec 28, 2017",Seton Hall,,Creighton,,90,84,N
2018,Big East Conference,"Thu, Dec 28, 2017",St. John's (NY),,Providence,,72,94,N
2018,Big East Conference,"Sat, Dec 30, 2017",Butler,,Villanova,,101,93,N
2018,Big East Conference,"Sat, Dec 30, 2017",Marquette,,Georgetown,,74,65,N
2018,Big East Conference,"Sat, Dec 30, 2017",Xavier,,DePaul,,77,72,N
2018,Big East Conference,"Sun, Dec 31, 2017",Creighton,,Providence,,83,64,N
2018,Big East Conference,"Sun, Dec 31, 2017",Seton Hall,,St. John's (NY),,75,70,N
2018,Big East Conference,"Tue, Jan 2, 2018",DePaul,,Georgetown,,81,90,N
2018,Big East Conference,"Tue, Jan 2, 2018",Xavier,,Butler,,86,79,N
2018,Big East Conference,"Wed, Jan 3, 2018",Creighton,,St. John's (NY),,78,71,N
2018,Big East Conference,"Wed, Jan 3, 2018",Providence,,Marquette,,90,95,N
2018,Big East Conference,"Sat, Jan 6, 2018",Butler,,Seton Hall,,87,90,N
2018,Big East Conference,"Sat, Jan 6, 2018",Georgetown,,Creighton,,66,90,N
2018,Big East Conference,"Sat, Jan 6, 2018",Providence,,Xavier,,81,72,N
2018,Big East Conference,"Sat, Jan 6, 2018",St. John's (NY),,DePaul,,74,91,N
2018,Big East Conference,"Sat, Jan 6, 2018",Villanova,,Marquette,,100,90,N
2018,Big East Conference,"Tue, Jan 9, 2018",Creighton,,Butler,,85,74,N
2018,Big East Conference,"Tue, Jan 9, 2018",Marquette,,Seton Hall,,84,64,N
2018,Big East Conference,"Tue, Jan 9, 2018",St. John's (NY),,Georgetown,,66,69,N
2018,Big East Conference,"Wed, Jan 10, 2018",Villanova,,Xavier,,89,65,N
2018,Big East Conference,"Fri, Jan 12, 2018",Butler,,Marquette,,94,83,N
2018,Big East Conference,"Fri, Jan 12, 2018",DePaul,,Providence,,64,71,N
2018,Big East Conference,"Sat, Jan 13, 2018",Seton Hall,,Georgetown,,74,61,N
2018,Big East Conference,"Sat, Jan 13, 2018",St. John's (NY),,Villanova,,71,78,N
2018,Big East Conference,"Sat, Jan 13, 2018",Xavier,,Creighton,,92,70,N
2018,Big East Conference,"Mon, Jan 15, 2018",Marquette,,DePaul,,70,52,N
2018,Big East Conference,"Mon, Jan 15, 2018",Providence,,Butler,,70,60,N
2018,Big East Conference,"Wed, Jan 17, 2018",Creighton,,Seton Hall,,80,63,N
2018,Big East Conference,"Wed, Jan 17, 2018",Georgetown,,Villanova,,56,88,N
2018,Big East Conference,"Wed, Jan 17, 2018",Xavier,,St. John's (NY),,88,82,N
2018,Big East Conference,"Sat, Jan 20, 2018",DePaul,,Butler,,67,79,N
2018,Big East Conference,"Sat, Jan 20, 2018",Georgetown,,St. John's (NY),,93,89,N
2018,Big East Conference,"Sat, Jan 20, 2018",Providence,,Creighton,,85,71,N
2018,Big East Conference,"Sat, Jan 20, 2018",Seton Hall,,Xavier,,64,73,N
2018,Big East Conference,"Tue, Jan 23, 2018",St. John's (NY),,Creighton,,63,68,N
2018,Big East Conference,"Tue, Jan 23, 2018",Villanova,,Providence,,89,69,N
2018,Big East Conference,"Wed, Jan 24, 2018",Georgetown,,DePaul,,73,74,N
2018,Big East Conference,"Wed, Jan 24, 2018",Xavier,,Marquette,,89,70,N
