season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2009,West Coast Conference,"Fri, Jan 9, 2009",Saint Mary's,,Santa Clara,,63,62,N
2009,West Coast Conference,"Fri, Jan 9, 2009",San Francisco,,San Diego,,50,65,N
2009,West Coast Conference,"Sat, Jan 10, 2009",Gonzaga,,Portland,,67,50,N
2009,West Coast Conference,"Sat, Jan 10, 2009",Pepperdine,,Loyola Marymount,,59,57,N
2009,West Coast Conference,"Sun, Jan 11, 2009",San Francisco,,Saint Mary's,,54,66,N
2009,West Coast Conference,"Sun, Jan 11, 2009",Santa Clara,,San Diego,,50,55,N
2009,West Coast Conference,"Thu, Jan 15, 2009",Gonzaga,,Santa Clara,,95,53,N
2009,West Coast Conference,"Thu, Jan 15, 2009",Portland,,San Francisco,,78,60,N
2009,West Coast Conference,"Thu, Jan 15, 2009",Saint Mary's,,Loyola Marymount,,78,53,N
2009,West Coast Conference,"Thu, Jan 15, 2009",San Diego,,Pepperdine,,62,47,N
2009,West Coast Conference,"Sat, Jan 17, 2009",Gonzaga,,San Francisco,,85,51,N
2009,West Coast Conference,"Sat, Jan 17, 2009",Portland,,Santa Clara,,53,52,N
2009,West Coast Conference,"Sat, Jan 17, 2009",Saint Mary's,,Pepperdine,,96,46,N
2009,West Coast Conference,"Sat, Jan 17, 2009",San Diego,,Loyola Marymount,,70,59,N
2009,West Coast Conference,"Thu, Jan 22, 2009",Loyola Marymount,,Portland,,59,75,N
2009,West Coast Conference,"Thu, Jan 22, 2009",Pepperdine,,Gonzaga,,69,83,N
2009,West Coast Conference,"Thu, Jan 22, 2009",San Diego,,Saint Mary's,,42,65,N
2009,West Coast Conference,"Fri, Jan 23, 2009",Santa Clara,,San Francisco,,70,54,N
2009,West Coast Conference,"Sat, Jan 24, 2009",Loyola Marymount,,Gonzaga,,60,93,N
2009,West Coast Conference,"Sat, Jan 24, 2009",Pepperdine,,Portland,,58,73,N
2009,West Coast Conference,"Thu, Jan 29, 2009",Gonzaga,,Saint Mary's,,69,62,N
2009,West Coast Conference,"Thu, Jan 29, 2009",Portland,,San Diego,,69,55,N
2009,West Coast Conference,"Thu, Jan 29, 2009",San Francisco,,Pepperdine,,67,69,N
2009,West Coast Conference,"Thu, Jan 29, 2009",Santa Clara,,Loyola Marymount,,82,56,N
2009,West Coast Conference,"Sat, Jan 31, 2009",Gonzaga,,San Diego,,64,47,N
2009,West Coast Conference,"Sat, Jan 31, 2009",Portland,,Saint Mary's,,84,66,N
2009,West Coast Conference,"Sat, Jan 31, 2009",San Francisco,,Loyola Marymount,,73,53,N
2009,West Coast Conference,"Sat, Jan 31, 2009",Santa Clara,,Pepperdine,,64,52,N
2009,West Coast Conference,"Thu, Feb 5, 2009",Portland,,Gonzaga,,78,93,N
2009,West Coast Conference,"Thu, Feb 5, 2009",Saint Mary's,,San Francisco,,79,58,N
2009,West Coast Conference,"Thu, Feb 5, 2009",San Diego,,Santa Clara,,62,64,N
2009,West Coast Conference,"Sat, Feb 7, 2009",Loyola Marymount,,Pepperdine,,43,58,N
2009,West Coast Conference,"Sat, Feb 7, 2009",San Diego,,San Francisco,,73,63,N
2009,West Coast Conference,"Sat, Feb 7, 2009",Santa Clara,,Saint Mary's,,70,52,N
2009,West Coast Conference,"Thu, Feb 12, 2009",Loyola Marymount,,San Diego,,65,57,N
2009,West Coast Conference,"Thu, Feb 12, 2009",Pepperdine,,Santa Clara,,66,60,N
2009,West Coast Conference,"Thu, Feb 12, 2009",Saint Mary's,,Gonzaga,,70,72,N
2009,West Coast Conference,"Thu, Feb 12, 2009",San Francisco,,Portland,,67,72,N
2009,West Coast Conference,"Sat, Feb 14, 2009",Loyola Marymount,,Santa Clara,,64,69,N
2009,West Coast Conference,"Sat, Feb 14, 2009",Pepperdine,,San Diego,,57,52,N
2009,West Coast Conference,"Sat, Feb 14, 2009",Saint Mary's,,Portland,,77,65,N
2009,West Coast Conference,"Sat, Feb 14, 2009",San Francisco,,Gonzaga,,73,78,N
2009,West Coast Conference,"Thu, Feb 19, 2009",Gonzaga,,Loyola Marymount,,91,54,N
2009,West Coast Conference,"Thu, Feb 19, 2009",Portland,,Pepperdine,,74,45,N
2009,West Coast Conference,"Thu, Feb 19, 2009",Saint Mary's,,San Diego,,65,61,N
2009,West Coast Conference,"Sat, Feb 21, 2009",Gonzaga,,Pepperdine,,92,58,N
2009,West Coast Conference,"Sat, Feb 21, 2009",Portland,,Loyola Marymount,,73,65,N
2009,West Coast Conference,"Sat, Feb 21, 2009",San Francisco,,Santa Clara,,67,66,N
2009,West Coast Conference,"Thu, Feb 26, 2009",Loyola Marymount,,San Francisco,,61,57,N
2009,West Coast Conference,"Thu, Feb 26, 2009",Pepperdine,,Saint Mary's,,49,62,N
2009,West Coast Conference,"Thu, Feb 26, 2009",San Diego,,Portland,,66,60,N
2009,West Coast Conference,"Thu, Feb 26, 2009",Santa Clara,,Gonzaga,,73,81,N
2009,West Coast Conference,"Sat, Feb 28, 2009",Loyola Marymount,,Saint Mary's,,57,70,N
2009,West Coast Conference,"Sat, Feb 28, 2009",Pepperdine,,San Francisco,,62,70,N
2009,West Coast Conference,"Sat, Feb 28, 2009",San Diego,,Gonzaga,,47,58,N
2009,West Coast Conference,"Sat, Feb 28, 2009",Santa Clara,,Portland,,67,65,N
2009,West Coast Conference,"Fri, Mar 6, 2009",Loyola Marymount,,San Diego,,56,62,N
2009,West Coast Conference,"Fri, Mar 6, 2009",San Francisco,,Pepperdine,,85,93,N
2009,West Coast Conference,"Sat, Mar 7, 2009",Pepperdine,,Portland,,45,69,N
2009,West Coast Conference,"Sat, Mar 7, 2009",San Diego,,Santa Clara,,69,80,N
2009,West Coast Conference,"Sun, Mar 8, 2009",Portland,,Saint Mary's,,61,71,N
2009,West Coast Conference,"Sun, Mar 8, 2009",Santa Clara,,Gonzaga,,59,94,N
2009,West Coast Conference,"Mon, Mar 9, 2009",Saint Mary's,,Gonzaga,,58,83,N
2009,Big Ten Conference,"Tue, Dec 30, 2008",Purdue,,Illinois,,67,71,N
2009,Big Ten Conference,"Wed, Dec 31, 2008",Michigan,,Wisconsin,,61,73,N
2009,Big Ten Conference,"Wed, Dec 31, 2008",Minnesota,,Michigan State,,58,70,N
2009,Big Ten Conference,"Wed, Dec 31, 2008",Ohio State,,Iowa,,68,65,N
2009,Big Ten Conference,"Wed, Dec 31, 2008",Penn State,,Northwestern,,61,57,N
2009,Big Ten Conference,"Sat, Jan 3, 2009",Iowa,,Indiana,,65,60,N
2009,Big Ten Conference,"Sat, Jan 3, 2009",Minnesota,,Ohio State,,68,59,N
