season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2014,Pac-12 Conference,"Thu, Jan 2, 2014",Arizona,,Washington State,,60,25,N
2014,Pac-12 Conference,"Thu, Jan 2, 2014",Arizona State,,Washington,,65,76,N
2014,Pac-12 Conference,"Thu, Jan 2, 2014",Colorado,,Oregon State,,64,58,N
2014,Pac-12 Conference,"Thu, Jan 2, 2014",Stanford,,California,,62,69,N
2014,Pac-12 Conference,"Thu, Jan 2, 2014",Utah,,Oregon,,68,70,N
2014,Pac-12 Conference,"Sat, Jan 4, 2014",Arizona,,Washington,,71,62,N
2014,Pac-12 Conference,"Sat, Jan 4, 2014",Utah,,Oregon State,,80,69,N
2014,Pac-12 Conference,"Sun, Jan 5, 2014",Arizona State,,Washington State,,66,47,N
2014,Pac-12 Conference,"Sun, Jan 5, 2014",Colorado,,Oregon,,100,91,N
2014,Pac-12 Conference,"Sun, Jan 5, 2014",UCLA,,Southern California,,107,73,N
2014,Pac-12 Conference,"Wed, Jan 8, 2014",Washington,,Utah,,59,57,N
2014,Pac-12 Conference,"Wed, Jan 8, 2014",Washington State,,Colorado,,70,71,N
2014,Pac-12 Conference,"Thu, Jan 9, 2014",Oregon,,California,,83,96,N
2014,Pac-12 Conference,"Thu, Jan 9, 2014",Oregon State,,Stanford,,81,72,N
2014,Pac-12 Conference,"Thu, Jan 9, 2014",Southern California,,Arizona State,,60,79,N
2014,Pac-12 Conference,"Thu, Jan 9, 2014",UCLA,,Arizona,,75,79,N
2014,Pac-12 Conference,"Sat, Jan 11, 2014",Oregon State,,California,,83,88,N
2014,Pac-12 Conference,"Sun, Jan 12, 2014",Oregon,,Stanford,,80,82,N
2014,Pac-12 Conference,"Sun, Jan 12, 2014",Southern California,,Arizona,,53,73,N
2014,Pac-12 Conference,"Sun, Jan 12, 2014",UCLA,,Arizona State,,87,72,N
2014,Pac-12 Conference,"Sun, Jan 12, 2014",Washington,,Colorado,,71,54,N
2014,Pac-12 Conference,"Sun, Jan 12, 2014",Washington State,,Utah,,49,46,N
2014,Pac-12 Conference,"Wed, Jan 15, 2014",California,,Washington,,82,56,N
2014,Pac-12 Conference,"Wed, Jan 15, 2014",Stanford,,Washington State,,80,48,N
2014,Pac-12 Conference,"Thu, Jan 16, 2014",Arizona,,Arizona State,,91,68,N
2014,Pac-12 Conference,"Thu, Jan 16, 2014",Colorado,,UCLA,,56,69,N
2014,Pac-12 Conference,"Thu, Jan 16, 2014",Utah,,Southern California,,84,66,N
2014,Pac-12 Conference,"Sat, Jan 18, 2014",California,,Washington State,,76,55,N
2014,Pac-12 Conference,"Sat, Jan 18, 2014",Colorado,,Southern California,,83,62,N
2014,Pac-12 Conference,"Sat, Jan 18, 2014",Stanford,,Washington,,79,67,N
2014,Pac-12 Conference,"Sat, Jan 18, 2014",Utah,,UCLA,,74,69,N
2014,Pac-12 Conference,"Sun, Jan 19, 2014",Oregon State,,Oregon,,80,72,N
2014,Pac-12 Conference,"Wed, Jan 22, 2014",Southern California,,California,,77,69,N
2014,Pac-12 Conference,"Wed, Jan 22, 2014",Washington State,,Oregon State,,55,66,N
2014,Pac-12 Conference,"Thu, Jan 23, 2014",Arizona,,Colorado,,69,57,N
2014,Pac-12 Conference,"Thu, Jan 23, 2014",Arizona State,,Utah,,79,75,N
2014,Pac-12 Conference,"Thu, Jan 23, 2014",UCLA,,Stanford,,91,74,N
2014,Pac-12 Conference,"Thu, Jan 23, 2014",Washington,,Oregon,,80,76,N
2014,Pac-12 Conference,"Sat, Jan 25, 2014",Arizona State,,Colorado,,72,51,N
2014,Pac-12 Conference,"Sat, Jan 25, 2014",Washington,,Oregon State,,87,81,N
2014,Pac-12 Conference,"Sun, Jan 26, 2014",Arizona,,Utah,,65,56,N
2014,Pac-12 Conference,"Sun, Jan 26, 2014",Southern California,,Stanford,,71,79,N
2014,Pac-12 Conference,"Sun, Jan 26, 2014",UCLA,,California,,76,64,N
2014,Pac-12 Conference,"Sun, Jan 26, 2014",Washington State,,Oregon,,44,71,N
2014,Pac-12 Conference,"Wed, Jan 29, 2014",California,,Arizona State,,78,89,N
2014,Pac-12 Conference,"Wed, Jan 29, 2014",Stanford,,Arizona,,57,60,N
