season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2020,Big 12 Conference,"Sat, Jan 4, 2020",Baylor,,Texas,,59,44,N
2020,Big 12 Conference,"Sat, Jan 4, 2020",Kansas,,West Virginia,,60,53,N
2020,Big 12 Conference,"Sat, Jan 4, 2020",Oklahoma,,Kansas State,,66,61,N
2020,Big 12 Conference,"Sat, Jan 4, 2020",Texas Christian,,Iowa State,,81,79,N
2020,Big 12 Conference,"Sat, Jan 4, 2020",Texas Tech,,Oklahoma State,,85,50,N
2020,Big 12 Conference,"Mon, Jan 6, 2020",Oklahoma State,,West Virginia,,41,55,N
2020,Big 12 Conference,"Tue, Jan 7, 2020",Kansas State,,Texas Christian,,57,59,N
2020,Big 12 Conference,"Tue, Jan 7, 2020",Texas Tech,,Baylor,,52,57,N
2020,Big 12 Conference,"Wed, Jan 8, 2020",Iowa State,,Kansas,,53,79,N
2020,Big 12 Conference,"Wed, Jan 8, 2020",Texas,,Oklahoma,,62,72,N
2020,Big 12 Conference,"Sat, Jan 11, 2020",Iowa State,,Oklahoma,,81,68,N
2020,Big 12 Conference,"Sat, Jan 11, 2020",Kansas,,Baylor,,55,67,N
2020,Big 12 Conference,"Sat, Jan 11, 2020",Texas,,Kansas State,,64,50,N
2020,Big 12 Conference,"Sat, Jan 11, 2020",Texas Christian,,Oklahoma State,,52,40,N
2020,Big 12 Conference,"Sat, Jan 11, 2020",West Virginia,,Texas Tech,,66,54,N
2020,Big 12 Conference,"Tue, Jan 14, 2020",Kansas State,,Texas Tech,,63,77,N
2020,Big 12 Conference,"Tue, Jan 14, 2020",Oklahoma,,Kansas,,52,66,N
2020,Big 12 Conference,"Tue, Jan 14, 2020",West Virginia,,Texas Christian,,81,49,N
2020,Big 12 Conference,"Wed, Jan 15, 2020",Baylor,,Iowa State,,68,55,N
2020,Big 12 Conference,"Wed, Jan 15, 2020",Oklahoma State,,Texas,,64,76,N
2020,Big 12 Conference,"Sat, Jan 18, 2020",Kansas State,,West Virginia,,84,68,N
2020,Big 12 Conference,"Sat, Jan 18, 2020",Oklahoma,,Texas Christian,,83,63,N
2020,Big 12 Conference,"Sat, Jan 18, 2020",Oklahoma State,,Baylor,,68,75,N
2020,Big 12 Conference,"Sat, Jan 18, 2020",Texas,,Kansas,,57,66,N
2020,Big 12 Conference,"Sat, Jan 18, 2020",Texas Tech,,Iowa State,,72,52,N
2020,Big 12 Conference,"Mon, Jan 20, 2020",Baylor,,Oklahoma,,61,57,N
2020,Big 12 Conference,"Mon, Jan 20, 2020",West Virginia,,Texas,,97,59,N
2020,Big 12 Conference,"Tue, Jan 21, 2020",Iowa State,,Oklahoma State,,89,82,N
2020,Big 12 Conference,"Tue, Jan 21, 2020",Kansas,,Kansas State,,81,60,N
2020,Big 12 Conference,"Tue, Jan 21, 2020",Texas Christian,,Texas Tech,,65,54,N
2020,Big 12 Conference,"Mon, Jan 27, 2020",Oklahoma State,,Kansas,,50,65,N
2020,Big 12 Conference,"Wed, Jan 29, 2020",Iowa State,,Baylor,,53,67,N
2020,Big 12 Conference,"Wed, Jan 29, 2020",Kansas State,,Oklahoma,,61,53,N
