season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2024,Pac-12 Conference,"Thu, Dec 28, 2023",Oregon,,Southern California,,82,74,N
2024,Pac-12 Conference,"Thu, Dec 28, 2023",Oregon State,,UCLA,,62,69,N
2024,Pac-12 Conference,"Fri, Dec 29, 2023",California,,Arizona,,81,100,N
2024,Pac-12 Conference,"Fri, Dec 29, 2023",Colorado,,Washington,,73,69,N
2024,Pac-12 Conference,"Fri, Dec 29, 2023",Stanford,,Arizona State,,73,76,N
2024,Pac-12 Conference,"Fri, Dec 29, 2023",Utah,,Washington State,,80,58,N
2024,Pac-12 Conference,"Sat, Dec 30, 2023",Oregon,,UCLA,,64,59,N
2024,Pac-12 Conference,"Sat, Dec 30, 2023",Oregon State,,Southern California,,86,70,N
2024,Pac-12 Conference,"Sun, Dec 31, 2023",California,,Arizona State,,69,71,N
2024,Pac-12 Conference,"Sun, Dec 31, 2023",Colorado,,Washington State,,74,67,N
2024,Pac-12 Conference,"Sun, Dec 31, 2023",Stanford,,Arizona,,100,82,N
2024,Pac-12 Conference,"Sun, Dec 31, 2023",Utah,,Washington,,95,90,N
2024,Pac-12 Conference,"Wed, Jan 3, 2024",Southern California,,California,,82,74,N
2024,Pac-12 Conference,"Wed, Jan 3, 2024",UCLA,,Stanford,,53,59,N
2024,Pac-12 Conference,"Thu, Jan 4, 2024",Arizona,,Colorado,,97,50,N
2024,Pac-12 Conference,"Thu, Jan 4, 2024",Arizona State,,Utah,,82,70,N
2024,Pac-12 Conference,"Thu, Jan 4, 2024",Washington,,Oregon,,74,76,N
2024,Pac-12 Conference,"Thu, Jan 4, 2024",Washington State,,Oregon State,,65,58,N
2024,Pac-12 Conference,"Sat, Jan 6, 2024",Arizona,,Utah,,92,73,N
2024,Pac-12 Conference,"Sat, Jan 6, 2024",Arizona State,,Colorado,,76,73,N
2024,Pac-12 Conference,"Sat, Jan 6, 2024",Southern California,,Stanford,,93,79,N
2024,Pac-12 Conference,"Sat, Jan 6, 2024",UCLA,,California,,57,66,N
2024,Pac-12 Conference,"Sat, Jan 6, 2024",Washington,,Oregon State,,79,72,N
2024,Pac-12 Conference,"Sat, Jan 6, 2024",Washington State,,Oregon,,84,89,N
2024,Pac-12 Conference,"Wed, Jan 10, 2024",California,,Colorado,,82,78,N
2024,Pac-12 Conference,"Wed, Jan 10, 2024",Southern California,,Washington State,,64,72,N
2024,Pac-12 Conference,"Thu, Jan 11, 2024",Oregon State,,Stanford,,84,88,N
2024,Pac-12 Conference,"Thu, Jan 11, 2024",Utah,,UCLA,,90,44,N
2024,Pac-12 Conference,"Thu, Jan 11, 2024",Washington,,Arizona State,,82,67,N
2024,Pac-12 Conference,"Sat, Jan 13, 2024",Colorado,,Southern California,,68,58,N
2024,Pac-12 Conference,"Sat, Jan 13, 2024",Oregon,,California,,80,73,N
2024,Pac-12 Conference,"Sat, Jan 13, 2024",Washington State,,Arizona,,73,70,N
2024,Pac-12 Conference,"Sun, Jan 14, 2024",Stanford,,Utah,,79,73,N
2024,Pac-12 Conference,"Sun, Jan 14, 2024",UCLA,,Washington,,73,61,N
2024,Pac-12 Conference,"Wed, Jan 17, 2024",Arizona,,Southern California,,82,67,N
2024,Pac-12 Conference,"Wed, Jan 17, 2024",Arizona State,,UCLA,,66,68,N
2024,Pac-12 Conference,"Thu, Jan 18, 2024",California,,Washington,,75,77,N
2024,Pac-12 Conference,"Thu, Jan 18, 2024",Colorado,,Oregon,,86,70,N
2024,Pac-12 Conference,"Thu, Jan 18, 2024",Stanford,,Washington State,,75,89,N
2024,Pac-12 Conference,"Thu, Jan 18, 2024",Utah,,Oregon State,,74,47,N
2024,Pac-12 Conference,"Sat, Jan 20, 2024",Arizona,,UCLA,,77,71,N
2024,Pac-12 Conference,"Sat, Jan 20, 2024",Arizona State,,Southern California,,82,67,N
2024,Pac-12 Conference,"Sat, Jan 20, 2024",California,,Washington State,,81,75,N
2024,Pac-12 Conference,"Sat, Jan 20, 2024",Colorado,,Oregon State,,90,57,N
2024,Pac-12 Conference,"Sat, Jan 20, 2024",Stanford,,Washington,,90,80,N
