season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2017,Big 12 Conference,"Fri, Dec 30, 2016",Iowa State,,Texas Tech,,63,56,N
2017,Big 12 Conference,"Fri, Dec 30, 2016",Kansas State,,Texas,,65,62,N
2017,Big 12 Conference,"Fri, Dec 30, 2016",Oklahoma,,Baylor,,50,76,N
2017,Big 12 Conference,"Fri, Dec 30, 2016",Oklahoma State,,West Virginia,,75,92,N
2017,Big 12 Conference,"Fri, Dec 30, 2016",Texas Christian,,Kansas,,80,86,N
2017,Big 12 Conference,"Tue, Jan 3, 2017",Kansas,,Kansas State,,90,88,N
2017,Big 12 Conference,"Tue, Jan 3, 2017",Texas Christian,,Oklahoma,,60,57,N
2017,Big 12 Conference,"Tue, Jan 3, 2017",Texas Tech,,West Virginia,,77,76,N
2017,Big 12 Conference,"Wed, Jan 4, 2017",Baylor,,Iowa State,,65,63,N
2017,Big 12 Conference,"Wed, Jan 4, 2017",Texas,,Oklahoma State,,82,79,N
2017,Big 12 Conference,"Sat, Jan 7, 2017",Baylor,,Oklahoma State,,61,57,N
2017,Big 12 Conference,"Sat, Jan 7, 2017",Iowa State,,Texas,,79,70,N
2017,Big 12 Conference,"Sat, Jan 7, 2017",Kansas,,Texas Tech,,85,68,N
2017,Big 12 Conference,"Sat, Jan 7, 2017",Kansas State,,Oklahoma,,75,64,N
2017,Big 12 Conference,"Sat, Jan 7, 2017",West Virginia,,Texas Christian,,82,70,N
2017,Big 12 Conference,"Tue, Jan 10, 2017",Oklahoma,,Kansas,,70,81,N
2017,Big 12 Conference,"Tue, Jan 10, 2017",Texas Tech,,Kansas State,,66,65,N
2017,Big 12 Conference,"Tue, Jan 10, 2017",West Virginia,,Baylor,,89,68,N
2017,Big 12 Conference,"Wed, Jan 11, 2017",Oklahoma State,,Iowa State,,86,96,N
2017,Big 12 Conference,"Wed, Jan 11, 2017",Texas,,Texas Christian,,61,64,N
2017,Big 12 Conference,"Sat, Jan 14, 2017",Kansas,,Oklahoma State,,87,80,N
2017,Big 12 Conference,"Sat, Jan 14, 2017",Kansas State,,Baylor,,68,77,N
2017,Big 12 Conference,"Sat, Jan 14, 2017",Oklahoma,,Texas Tech,,84,75,N
2017,Big 12 Conference,"Sat, Jan 14, 2017",Texas,,West Virginia,,72,74,N
2017,Big 12 Conference,"Sat, Jan 14, 2017",Texas Christian,,Iowa State,,84,77,N
2017,Big 12 Conference,"Mon, Jan 16, 2017",Iowa State,,Kansas,,72,76,N
2017,Big 12 Conference,"Tue, Jan 17, 2017",Baylor,,Texas,,74,64,N
2017,Big 12 Conference,"Wed, Jan 18, 2017",Oklahoma State,,Kansas State,,88,96,N
2017,Big 12 Conference,"Wed, Jan 18, 2017",Texas Tech,,Texas Christian,,75,69,N
2017,Big 12 Conference,"Wed, Jan 18, 2017",West Virginia,,Oklahoma,,87,89,N
2017,Big 12 Conference,"Sat, Jan 21, 2017",Kansas,,Texas,,79,67,N
2017,Big 12 Conference,"Sat, Jan 21, 2017",Kansas State,,West Virginia,,79,75,N
2017,Big 12 Conference,"Sat, Jan 21, 2017",Oklahoma,,Iowa State,,87,92,N
2017,Big 12 Conference,"Sat, Jan 21, 2017",Texas Christian,,Baylor,,53,62,N
2017,Big 12 Conference,"Sat, Jan 21, 2017",Texas Tech,,Oklahoma State,,64,83,N
2017,Big 12 Conference,"Mon, Jan 23, 2017",Oklahoma State,,Texas Christian,,89,76,N
2017,Big 12 Conference,"Mon, Jan 23, 2017",Texas,,Oklahoma,,84,83,N
2017,Big 12 Conference,"Tue, Jan 24, 2017",Iowa State,,Kansas State,,70,65,N
2017,Big 12 Conference,"Tue, Jan 24, 2017",West Virginia,,Kansas,,85,69,N
2017,Big 12 Conference,"Wed, Jan 25, 2017",Baylor,,Texas Tech,,65,61,N
2017,Big 12 Conference,"Mon, Jan 30, 2017",Oklahoma,,Oklahoma State,,66,68,N
2017,Big 12 Conference,"Tue, Jan 31, 2017",Iowa State,,West Virginia,,72,85,N
2017,Big 12 Conference,"Wed, Feb 1, 2017",Kansas,,Baylor,,73,68,N
2017,Big 12 Conference,"Wed, Feb 1, 2017",Kansas State,,Texas Christian,,80,86,N
2017,Big 12 Conference,"Wed, Feb 1, 2017",Texas,,Texas Tech,,62,58,N
2017,Big 12 Conference,"Sat, Feb 4, 2017",Baylor,,Kansas State,,54,56,N
2017,Big 12 Conference,"Sat, Feb 4, 2017",Kansas,,Iowa State,,89,92,N
2017,Big 12 Conference,"Sat, Feb 4, 2017",Texas Christian,,Texas,,78,63,N
2017,Big 12 Conference,"Sat, Feb 4, 2017",Texas Tech,,Oklahoma,,77,69,N
2017,Big 12 Conference,"Sat, Feb 4, 2017",West Virginia,,Oklahoma State,,75,82,N
2017,Big 12 Conference,"Mon, Feb 6, 2017",Kansas State,,Kansas,,71,74,N
2017,Big 12 Conference,"Tue, Feb 7, 2017",Texas,,Iowa State,,67,65,N
2017,Big 12 Conference,"Tue, Feb 7, 2017",Texas Christian,,Texas Tech,,62,61,N
2017,Big 12 Conference,"Wed, Feb 8, 2017",Oklahoma,,West Virginia,,50,61,N
2017,Big 12 Conference,"Wed, Feb 8, 2017",Oklahoma State,,Baylor,,69,72,N
2017,Big 12 Conference,"Sat, Feb 11, 2017",Baylor,,Texas Christian,,70,52,N
2017,Big 12 Conference,"Sat, Feb 11, 2017",Iowa State,,Oklahoma,,80,64,N
2017,Big 12 Conference,"Sat, Feb 11, 2017",Oklahoma State,,Texas,,84,71,N
2017,Big 12 Conference,"Sat, Feb 11, 2017",Texas Tech,,Kansas,,79,80,N
2017,Big 12 Conference,"Sat, Feb 11, 2017",West Virginia,,Kansas State,,85,66,N
2017,Big 12 Conference,"Mon, Feb 13, 2017",Kansas,,West Virginia,,84,80,N
2017,Big 12 Conference,"Mon, Feb 13, 2017",Texas Tech,,Baylor,,84,78,N
2017,Big 12 Conference,"Tue, Feb 14, 2017",Oklahoma,,Texas,,70,66,N
2017,Big 12 Conference,"Wed, Feb 15, 2017",Kansas State,,Iowa State,,79,87,N
2017,Big 12 Conference,"Wed, Feb 15, 2017",Texas Christian,,Oklahoma State,,68,71,N
2017,Big 12 Conference,"Sat, Feb 18, 2017",Baylor,,Kansas,,65,67,N
2017,Big 12 Conference,"Sat, Feb 18, 2017",Iowa State,,Texas Christian,,84,71,N
2017,Big 12 Conference,"Sat, Feb 18, 2017",Oklahoma State,,Oklahoma,,96,92,N
2017,Big 12 Conference,"Sat, Feb 18, 2017",Texas,,Kansas State,,61,64,N
2017,Big 12 Conference,"Sat, Feb 18, 2017",West Virginia,,Texas Tech,,83,74,N
2017,Big 12 Conference,"Mon, Feb 20, 2017",Texas Tech,,Iowa State,,80,82,N
2017,Big 12 Conference,"Mon, Feb 20, 2017",West Virginia,,Texas,,77,62,N
2017,Big 12 Conference,"Tue, Feb 21, 2017",Baylor,,Oklahoma,,60,54,N
2017,Big 12 Conference,"Wed, Feb 22, 2017",Kansas,,Texas Christian,,87,68,N
2017,Big 12 Conference,"Wed, Feb 22, 2017",Kansas State,,Oklahoma State,,68,80,N
2017,Big 12 Conference,"Sat, Feb 25, 2017",Iowa State,,Baylor,,72,69,N
2017,Big 12 Conference,"Sat, Feb 25, 2017",Oklahoma,,Kansas State,,81,51,N
2017,Big 12 Conference,"Sat, Feb 25, 2017",Oklahoma State,,Texas Tech,,80,63,N
2017,Big 12 Conference,"Sat, Feb 25, 2017",Texas,,Kansas,,67,77,N
2017,Big 12 Conference,"Sat, Feb 25, 2017",Texas Christian,,West Virginia,,60,61,N
2017,Big 12 Conference,"Mon, Feb 27, 2017",Baylor,,West Virginia,,71,62,N
2017,Big 12 Conference,"Mon, Feb 27, 2017",Kansas,,Oklahoma,,73,63,N
2017,Big 12 Conference,"Tue, Feb 28, 2017",Iowa State,,Oklahoma State,,86,83,N
2017,Big 12 Conference,"Wed, Mar 1, 2017",Texas Christian,,Kansas State,,74,75,N
2017,Big 12 Conference,"Wed, Mar 1, 2017",Texas Tech,,Texas,,67,57,N
2017,Big 12 Conference,"Fri, Mar 3, 2017",West Virginia,,Iowa State,,87,76,N
2017,Big 12 Conference,"Sat, Mar 4, 2017",Kansas State,,Texas Tech,,61,48,N
2017,Big 12 Conference,"Sat, Mar 4, 2017",Oklahoma,,Texas Christian,,73,68,N
2017,Big 12 Conference,"Sat, Mar 4, 2017",Oklahoma State,,Kansas,,85,90,N
2017,Big 12 Conference,"Sat, Mar 4, 2017",Texas,,Baylor,,64,75,N
2017,Big 12 Conference,"Wed, Mar 8, 2017",Texas Christian,,Oklahoma,,82,63,N
2017,Big 12 Conference,"Wed, Mar 8, 2017",Texas Tech,,Texas,,52,61,N
2017,Big 12 Conference,"Thu, Mar 9, 2017",Baylor,,Kansas State,,64,70,N
2017,Big 12 Conference,"Thu, Mar 9, 2017",Iowa State,,Oklahoma State,,92,83,N
2017,Big 12 Conference,"Thu, Mar 9, 2017",Kansas,,Texas Christian,,82,85,N
2017,Big 12 Conference,"Thu, Mar 9, 2017",West Virginia,,Texas,,63,53,N
2017,Big 12 Conference,"Fri, Mar 10, 2017",Iowa State,,Texas Christian,,84,63,N
2017,Big 12 Conference,"Fri, Mar 10, 2017",West Virginia,,Kansas State,,51,50,N
2017,Big 12 Conference,"Sat, Mar 11, 2017",West Virginia,,Iowa State,,74,80,N
2017,Pac-12 Conference,"Wed, Dec 28, 2016",Oregon,,UCLA,,89,87,N
2017,Pac-12 Conference,"Wed, Dec 28, 2016",Oregon State,,Southern California,,63,70,N
2017,Pac-12 Conference,"Fri, Dec 30, 2016",California,,Arizona,,62,67,N
2017,Pac-12 Conference,"Fri, Dec 30, 2016",Oregon,,Southern California,,84,61,N
2017,Pac-12 Conference,"Fri, Dec 30, 2016",Oregon State,,UCLA,,63,76,N
2017,Pac-12 Conference,"Fri, Dec 30, 2016",Stanford,,Arizona State,,93,98,N
2017,Pac-12 Conference,"Sun, Jan 1, 2017",California,,Arizona State,,81,65,N
2017,Pac-12 Conference,"Sun, Jan 1, 2017",Stanford,,Arizona,,52,91,N
2017,Pac-12 Conference,"Sun, Jan 1, 2017",Utah,,Colorado,,76,60,N
2017,Pac-12 Conference,"Sun, Jan 1, 2017",Washington,,Washington State,,74,79,N
2017,Pac-12 Conference,"Wed, Jan 4, 2017",Washington,,Oregon,,61,83,N
