season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2023,Southeastern Conference,"Wed, Dec 28, 2022",Auburn,,Florida,,61,58,N
2023,Southeastern Conference,"Wed, Dec 28, 2022",Louisiana State,,Arkansas,,60,57,N
2023,Southeastern Conference,"Wed, Dec 28, 2022",Mississippi,,Tennessee,,59,63,N
2023,Southeastern Conference,"Wed, Dec 28, 2022",Mississippi State,,Alabama,,67,78,N
2023,Southeastern Conference,"Wed, Dec 28, 2022",Missouri,,Kentucky,,89,75,N
2023,Southeastern Conference,"Tue, Jan 3, 2023",Alabama,,Mississippi,,84,62,N
2023,Southeastern Conference,"Tue, Jan 3, 2023",Kentucky,,Louisiana State,,74,71,N
2023,Southeastern Conference,"Tue, Jan 3, 2023",Tennessee,,Mississippi State,,87,53,N
2023,Southeastern Conference,"Tue, Jan 3, 2023",Vanderbilt,,South Carolina,,84,79,N
2023,Southeastern Conference,"Wed, Jan 4, 2023",Arkansas,,Missouri,,74,68,N
2023,Southeastern Conference,"Wed, Jan 4, 2023",Florida,,Texas A&M,,63,66,N
2023,Southeastern Conference,"Wed, Jan 4, 2023",Georgia,,Auburn,,76,64,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",Alabama,,Kentucky,,78,52,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",Auburn,,Arkansas,,72,59,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",Florida,,Georgia,,82,75,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",Mississippi State,,Mississippi,,64,54,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",Missouri,,Vanderbilt,,85,82,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",South Carolina,,Tennessee,,42,85,N
2023,Southeastern Conference,"Sat, Jan 7, 2023",Texas A&M,,Louisiana State,,69,56,N
2023,Southeastern Conference,"Tue, Jan 10, 2023",Kentucky,,South Carolina,,68,71,N
2023,Southeastern Conference,"Tue, Jan 10, 2023",Louisiana State,,Florida,,56,67,N
2023,Southeastern Conference,"Tue, Jan 10, 2023",Mississippi,,Auburn,,73,82,N
2023,Southeastern Conference,"Tue, Jan 10, 2023",Tennessee,,Vanderbilt,,77,68,N
2023,Southeastern Conference,"Wed, Jan 11, 2023",Arkansas,,Alabama,,69,84,N
2023,Southeastern Conference,"Wed, Jan 11, 2023",Georgia,,Mississippi State,,58,50,N
2023,Southeastern Conference,"Wed, Jan 11, 2023",Texas A&M,,Missouri,,82,64,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",Alabama,,Louisiana State,,106,66,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",Auburn,,Mississippi State,,69,63,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",Florida,,Missouri,,73,64,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",Mississippi,,Georgia,,58,62,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",South Carolina,,Texas A&M,,53,94,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",Tennessee,,Kentucky,,56,63,N
2023,Southeastern Conference,"Sat, Jan 14, 2023",Vanderbilt,,Arkansas,,97,84,N
2023,Southeastern Conference,"Tue, Jan 17, 2023",Kentucky,,Georgia,,85,71,N
2023,Southeastern Conference,"Tue, Jan 17, 2023",Mississippi State,,Tennessee,,59,70,N
2023,Southeastern Conference,"Tue, Jan 17, 2023",South Carolina,,Mississippi,,58,70,N
2023,Southeastern Conference,"Tue, Jan 17, 2023",Vanderbilt,,Alabama,,66,78,N
2023,Southeastern Conference,"Wed, Jan 18, 2023",Louisiana State,,Auburn,,49,67,N
2023,Southeastern Conference,"Wed, Jan 18, 2023",Missouri,,Arkansas,,79,76,N
2023,Southeastern Conference,"Wed, Jan 18, 2023",Texas A&M,,Florida,,54,52,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",Arkansas,,Mississippi,,69,57,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",Georgia,,Vanderbilt,,82,85,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",Kentucky,,Texas A&M,,76,67,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",Louisiana State,,Tennessee,,56,77,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",Mississippi State,,Florida,,59,61,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",Missouri,,Alabama,,64,85,N
2023,Southeastern Conference,"Sat, Jan 21, 2023",South Carolina,,Auburn,,66,81,N
2023,Southeastern Conference,"Tue, Jan 24, 2023",Arkansas,,Louisiana State,,60,40,N
2023,Southeastern Conference,"Tue, Jan 24, 2023",Mississippi,,Missouri,,77,89,N
2023,Southeastern Conference,"Tue, Jan 24, 2023",Vanderbilt,,Kentucky,,53,69,N
2023,Southeastern Conference,"Wed, Jan 25, 2023",Alabama,,Mississippi State,,66,63,N
2023,Southeastern Conference,"Wed, Jan 25, 2023",Auburn,,Texas A&M,,63,79,N
2023,Southeastern Conference,"Wed, Jan 25, 2023",Florida,,South Carolina,,81,60,N
2023,Southeastern Conference,"Wed, Jan 25, 2023",Tennessee,,Georgia,,70,41,N
2023,Southeastern Conference,"Sat, Jan 28, 2023",Georgia,,South Carolina,,81,78,N
2023,Southeastern Conference,"Sat, Jan 28, 2023",Texas A&M,,Vanderbilt,,72,66,N
2023,Southeastern Conference,"Tue, Jan 31, 2023",Alabama,,Vanderbilt,,101,44,N
2023,Southeastern Conference,"Tue, Jan 31, 2023",Arkansas,,Texas A&M,,81,70,N
2023,Southeastern Conference,"Tue, Jan 31, 2023",Mississippi,,Kentucky,,66,75,N
2023,Southeastern Conference,"Tue, Jan 31, 2023",South Carolina,,Mississippi State,,51,66,N
2023,Southeastern Conference,"Wed, Feb 1, 2023",Auburn,,Georgia,,94,73,N
2023,Southeastern Conference,"Wed, Feb 1, 2023",Florida,,Tennessee,,67,54,N
2023,Southeastern Conference,"Wed, Feb 1, 2023",Missouri,,Louisiana State,,87,77,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",Kentucky,,Florida,,72,67,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",Louisiana State,,Alabama,,69,79,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",Mississippi State,,Missouri,,63,52,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",South Carolina,,Arkansas,,63,65,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",Tennessee,,Auburn,,46,43,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",Texas A&M,,Georgia,,82,57,N
2023,Southeastern Conference,"Sat, Feb 4, 2023",Vanderbilt,,Mississippi,,74,71,N
2023,Southeastern Conference,"Tue, Feb 7, 2023",Georgia,,Mississippi,,74,78,N
2023,Southeastern Conference,"Tue, Feb 7, 2023",Kentucky,,Arkansas,,73,88,N
2023,Southeastern Conference,"Tue, Feb 7, 2023",Missouri,,South Carolina,,83,74,N
2023,Southeastern Conference,"Tue, Feb 7, 2023",Texas A&M,,Auburn,,83,78,N
2023,Southeastern Conference,"Wed, Feb 8, 2023",Alabama,,Florida,,97,69,N
2023,Southeastern Conference,"Wed, Feb 8, 2023",Mississippi State,,Louisiana State,,64,53,N
2023,Southeastern Conference,"Wed, Feb 8, 2023",Vanderbilt,,Tennessee,,66,65,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Arkansas,,Mississippi State,,64,70,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Auburn,,Alabama,,69,77,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Florida,,Vanderbilt,,80,88,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Georgia,,Kentucky,,75,68,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Louisiana State,,Texas A&M,,62,74,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Mississippi,,South Carolina,,61,64,N
2023,Southeastern Conference,"Sat, Feb 11, 2023",Tennessee,,Missouri,,85,86,N
2023,Southeastern Conference,"Tue, Feb 14, 2023",Auburn,,Missouri,,89,56,N
2023,Southeastern Conference,"Tue, Feb 14, 2023",Georgia,,Louisiana State,,65,63,N
2023,Southeastern Conference,"Tue, Feb 14, 2023",South Carolina,,Vanderbilt,,64,75,N
2023,Southeastern Conference,"Wed, Feb 15, 2023",Florida,,Mississippi,,79,64,N
2023,Southeastern Conference,"Wed, Feb 15, 2023",Mississippi State,,Kentucky,,68,71,N
2023,Southeastern Conference,"Wed, Feb 15, 2023",Tennessee,,Alabama,,68,59,N
2023,Southeastern Conference,"Wed, Feb 15, 2023",Texas A&M,,Arkansas,,62,56,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Alabama,,Georgia,,108,59,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Arkansas,,Florida,,84,65,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Kentucky,,Tennessee,,66,54,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Louisiana State,,South Carolina,,73,82,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Mississippi,,Mississippi State,,61,69,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Missouri,,Texas A&M,,60,69,N
2023,Southeastern Conference,"Sat, Feb 18, 2023",Vanderbilt,,Auburn,,67,65,N
2023,Southeastern Conference,"Tue, Feb 21, 2023",Arkansas,,Georgia,,97,65,N
2023,Southeastern Conference,"Tue, Feb 21, 2023",Missouri,,Mississippi State,,66,64,N
2023,Southeastern Conference,"Tue, Feb 21, 2023",Texas A&M,,Tennessee,,68,63,N
2023,Southeastern Conference,"Wed, Feb 22, 2023",Auburn,,Mississippi,,78,74,N
2023,Southeastern Conference,"Wed, Feb 22, 2023",Florida,,Kentucky,,74,82,N
2023,Southeastern Conference,"Wed, Feb 22, 2023",Louisiana State,,Vanderbilt,,84,77,N
2023,Southeastern Conference,"Wed, Feb 22, 2023",South Carolina,,Alabama,,76,78,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Alabama,,Arkansas,,86,83,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Georgia,,Missouri,,63,85,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Kentucky,,Auburn,,86,54,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Mississippi,,Louisiana State,,82,69,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Mississippi State,,Texas A&M,,69,62,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Tennessee,,South Carolina,,85,45,N
2023,Southeastern Conference,"Sat, Feb 25, 2023",Vanderbilt,,Florida,,88,72,N
2023,Southeastern Conference,"Tue, Feb 28, 2023",Georgia,,Florida,,67,77,N
2023,Southeastern Conference,"Tue, Feb 28, 2023",Mississippi,,Texas A&M,,61,69,N
2023,Southeastern Conference,"Tue, Feb 28, 2023",Mississippi State,,South Carolina,,74,68,N
2023,Southeastern Conference,"Tue, Feb 28, 2023",Tennessee,,Arkansas,,75,57,N
2023,Southeastern Conference,"Wed, Mar 1, 2023",Alabama,,Auburn,,90,85,N
2023,Southeastern Conference,"Wed, Mar 1, 2023",Kentucky,,Vanderbilt,,66,68,N
2023,Southeastern Conference,"Wed, Mar 1, 2023",Louisiana State,,Missouri,,76,81,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",Arkansas,,Kentucky,,79,88,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",Auburn,,Tennessee,,79,70,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",Florida,,Louisiana State,,79,67,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",Missouri,,Mississippi,,82,77,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",South Carolina,,Georgia,,61,55,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",Texas A&M,,Alabama,,67,61,N
2023,Southeastern Conference,"Sat, Mar 4, 2023",Vanderbilt,,Mississippi State,,77,72,N
2023,Southeastern Conference,"Wed, Mar 8, 2023",Georgia,,Louisiana State,,67,72,N
2023,Southeastern Conference,"Wed, Mar 8, 2023",South Carolina,,Mississippi,,61,67,N
2023,Southeastern Conference,"Thu, Mar 9, 2023",Auburn,,Arkansas,,73,76,N
2023,Southeastern Conference,"Thu, Mar 9, 2023",Florida,,Mississippi State,,68,69,N
2023,Southeastern Conference,"Thu, Mar 9, 2023",Tennessee,,Mississippi,,70,55,N
2023,Southeastern Conference,"Thu, Mar 9, 2023",Vanderbilt,,Louisiana State,,77,68,N
2023,Southeastern Conference,"Fri, Mar 10, 2023",Alabama,,Mississippi State,,72,49,N
2023,Southeastern Conference,"Fri, Mar 10, 2023",Kentucky,,Vanderbilt,,73,80,N
2023,Southeastern Conference,"Fri, Mar 10, 2023",Missouri,,Tennessee,,79,71,N
2023,Southeastern Conference,"Fri, Mar 10, 2023",Texas A&M,,Arkansas,,67,61,N
2023,Southeastern Conference,"Sat, Mar 11, 2023",Alabama,,Missouri,,72,61,N
2023,Southeastern Conference,"Sat, Mar 11, 2023",Texas A&M,,Vanderbilt,,87,75,N
2023,Southeastern Conference,"Sun, Mar 12, 2023",Alabama,,Texas A&M,,82,63,N
2023,Pac-12 Conference,"Wed, Nov 30, 2022",California,,Southern California,,51,66,N
2023,Pac-12 Conference,"Thu, Dec 1, 2022",Colorado,,Arizona State,,59,60,N
