season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2021,Big 12 Conference,"Sun, Dec 6, 2020",Texas Christian,,Oklahoma,,78,82,N
2021,Big 12 Conference,"Tue, Dec 15, 2020",Iowa State,,Kansas State,,65,74,N
2021,Big 12 Conference,"Wed, Dec 16, 2020",Oklahoma State,,Texas Christian,,76,77,N
2021,Big 12 Conference,"Thu, Dec 17, 2020",Texas Tech,,Kansas,,57,58,N
2021,Big 12 Conference,"Fri, Dec 18, 2020",West Virginia,,Iowa State,,70,65,N
2021,Big 12 Conference,"Sat, Dec 19, 2020",Kansas State,,Baylor,,69,100,N
2021,Big 12 Conference,"Sun, Dec 20, 2020",Texas,,Oklahoma State,,77,74,N
2021,Big 12 Conference,"Tue, Dec 22, 2020",Kansas,,West Virginia,,79,65,N
2021,Big 12 Conference,"Tue, Dec 22, 2020",Oklahoma,,Texas Tech,,67,69,N
2021,Big 12 Conference,"Sat, Jan 2, 2021",Iowa State,,Baylor,,65,76,N
2021,Big 12 Conference,"Sat, Jan 2, 2021",Kansas,,Texas,,59,84,N
2021,Big 12 Conference,"Sat, Jan 2, 2021",Kansas State,,Texas Christian,,60,67,N
2021,Big 12 Conference,"Sat, Jan 2, 2021",Oklahoma,,West Virginia,,75,71,N
2021,Big 12 Conference,"Sat, Jan 2, 2021",Texas Tech,,Oklahoma State,,77,82,N
2021,Big 12 Conference,"Mon, Jan 4, 2021",Oklahoma State,,West Virginia,,84,87,N
2021,Big 12 Conference,"Tue, Jan 5, 2021",Texas,,Iowa State,,78,72,N
2021,Big 12 Conference,"Tue, Jan 5, 2021",Texas Christian,,Kansas,,64,93,N
2021,Big 12 Conference,"Tue, Jan 5, 2021",Texas Tech,,Kansas State,,82,71,N
2021,Big 12 Conference,"Wed, Jan 6, 2021",Baylor,,Oklahoma,,76,61,N
2021,Big 12 Conference,"Sat, Jan 9, 2021",Iowa State,,Texas Tech,,64,91,N
2021,Big 12 Conference,"Sat, Jan 9, 2021",Kansas,,Oklahoma,,63,59,N
2021,Big 12 Conference,"Sat, Jan 9, 2021",Kansas State,,Oklahoma State,,54,70,N
2021,Big 12 Conference,"Sat, Jan 9, 2021",Texas Christian,,Baylor,,49,67,N
2021,Big 12 Conference,"Sat, Jan 9, 2021",West Virginia,,Texas,,70,72,N
2021,Big 12 Conference,"Tue, Jan 12, 2021",Oklahoma,,Texas Christian,,82,46,N
2021,Big 12 Conference,"Tue, Jan 12, 2021",Oklahoma State,,Kansas,,75,70,N
2021,Big 12 Conference,"Wed, Jan 13, 2021",Texas,,Texas Tech,,77,79,N
2021,Big 12 Conference,"Sat, Jan 16, 2021",Texas,,Kansas State,,82,67,N
2021,Big 12 Conference,"Sat, Jan 16, 2021",Texas Tech,,Baylor,,60,68,N
2021,Big 12 Conference,"Mon, Jan 18, 2021",Baylor,,Kansas,,77,69,N
2021,Big 12 Conference,"Tue, Jan 19, 2021",Oklahoma,,Kansas State,,76,50,N
2021,Big 12 Conference,"Sat, Jan 23, 2021",Kansas State,,West Virginia,,47,69,N
2021,Big 12 Conference,"Sat, Jan 23, 2021",Oklahoma,,Kansas,,75,68,N
2021,Big 12 Conference,"Sat, Jan 23, 2021",Oklahoma State,,Baylor,,66,81,N
2021,Big 12 Conference,"Mon, Jan 25, 2021",Iowa State,,Oklahoma State,,60,81,N
2021,Big 12 Conference,"Mon, Jan 25, 2021",West Virginia,,Texas Tech,,88,87,N
2021,Big 12 Conference,"Tue, Jan 26, 2021",Texas,,Oklahoma,,79,80,N
2021,Big 12 Conference,"Wed, Jan 27, 2021",Baylor,,Kansas State,,107,59,N
2021,Big 12 Conference,"Thu, Jan 28, 2021",Kansas,,Texas Christian,,59,51,N
2021,Big 12 Conference,"Mon, Feb 1, 2021",Texas Tech,,Oklahoma,,57,52,N
2021,Big 12 Conference,"Tue, Feb 2, 2021",Iowa State,,West Virginia,,72,76,N
2021,Big 12 Conference,"Tue, Feb 2, 2021",Kansas,,Kansas State,,74,51,N
2021,Big 12 Conference,"Tue, Feb 2, 2021",Texas,,Baylor,,69,83,N
2021,Big 12 Conference,"Wed, Feb 3, 2021",Texas Christian,,Oklahoma State,,81,78,N
2021,Big 12 Conference,"Sat, Feb 6, 2021",Kansas State,,Texas Tech,,62,73,N
2021,Big 12 Conference,"Sat, Feb 6, 2021",Oklahoma,,Iowa State,,79,72,N
2021,Big 12 Conference,"Sat, Feb 6, 2021",Oklahoma State,,Texas,,75,67,N
2021,Big 12 Conference,"Sat, Feb 6, 2021",West Virginia,,Kansas,,91,79,N
2021,Big 12 Conference,"Mon, Feb 8, 2021",Kansas,,Oklahoma State,,78,66,N
2021,Big 12 Conference,"Tue, Feb 9, 2021",Kansas State,,Texas,,77,80,N
2021,Big 12 Conference,"Tue, Feb 9, 2021",Texas Christian,,Iowa State,,79,76,N
2021,Big 12 Conference,"Tue, Feb 9, 2021",Texas Tech,,West Virginia,,71,82,N
2021,Big 12 Conference,"Thu, Feb 11, 2021",Kansas,,Iowa State,,97,64,N
2021,Big 12 Conference,"Sat, Feb 13, 2021",Iowa State,,Kansas,,50,64,N
2021,Big 12 Conference,"Sat, Feb 13, 2021",Oklahoma State,,Kansas State,,67,60,N
