season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2011,Big Ten Conference,"Mon, Dec 27, 2010",Indiana,,Penn State,,60,69,N
2011,Big Ten Conference,"Tue, Dec 28, 2010",Michigan,,Purdue,,57,80,N
2011,Big Ten Conference,"Tue, Dec 28, 2010",Wisconsin,,Minnesota,,68,60,N
2011,Big Ten Conference,"Wed, Dec 29, 2010",Iowa,,Illinois,,77,87,N
2011,Big Ten Conference,"Fri, Dec 31, 2010",Indiana,,Ohio State,,67,85,N
2011,Big Ten Conference,"Fri, Dec 31, 2010",Michigan State,,Minnesota,,71,62,N
2011,Big Ten Conference,"Fri, Dec 31, 2010",Purdue,,Northwestern,,82,69,N
2011,Big Ten Conference,"Sun, Jan 2, 2011",Illinois,,Wisconsin,,69,61,N
2011,Big Ten Conference,"Sun, Jan 2, 2011",Michigan,,Penn State,,76,69,N
2011,Big Ten Conference,"Mon, Jan 3, 2011",Northwestern,,Michigan State,,62,65,N
2011,Big Ten Conference,"Tue, Jan 4, 2011",Iowa,,Ohio State,,68,73,N
2011,Big Ten Conference,"Tue, Jan 4, 2011",Minnesota,,Indiana,,67,63,N
2011,Big Ten Conference,"Wed, Jan 5, 2011",Penn State,,Purdue,,68,83,N
2011,Big Ten Conference,"Wed, Jan 5, 2011",Wisconsin,,Michigan,,66,50,N
2011,Big Ten Conference,"Thu, Jan 6, 2011",Illinois,,Northwestern,,88,63,N
2011,Big Ten Conference,"Sat, Jan 8, 2011",Penn State,,Michigan State,,66,62,N
2011,Big Ten Conference,"Sun, Jan 9, 2011",Northwestern,,Indiana,,93,81,N
2011,Big Ten Conference,"Sun, Jan 9, 2011",Ohio State,,Minnesota,,67,64,N
2011,Big Ten Conference,"Sun, Jan 9, 2011",Purdue,,Iowa,,75,52,N
2011,Big Ten Conference,"Tue, Jan 11, 2011",Michigan State,,Wisconsin,,64,61,N
2011,Big Ten Conference,"Tue, Jan 11, 2011",Penn State,,Illinois,,57,55,N
2011,Big Ten Conference,"Wed, Jan 12, 2011",Iowa,,Northwestern,,71,90,N
2011,Big Ten Conference,"Wed, Jan 12, 2011",Michigan,,Ohio State,,64,68,N
2011,Big Ten Conference,"Thu, Jan 13, 2011",Minnesota,,Purdue,,70,67,N
2011,Big Ten Conference,"Sat, Jan 15, 2011",Indiana,,Michigan,,80,61,N
2011,Big Ten Conference,"Sat, Jan 15, 2011",Michigan State,,Northwestern,,71,67,N
2011,Big Ten Conference,"Sat, Jan 15, 2011",Ohio State,,Penn State,,69,66,N
2011,Big Ten Conference,"Sat, Jan 15, 2011",Wisconsin,,Illinois,,76,66,N
2011,Big Ten Conference,"Sun, Jan 16, 2011",Minnesota,,Iowa,,69,59,N
2011,Big Ten Conference,"Tue, Jan 18, 2011",Illinois,,Michigan State,,71,62,N
2011,Big Ten Conference,"Tue, Jan 18, 2011",Northwestern,,Michigan,,74,60,N
2011,Big Ten Conference,"Wed, Jan 19, 2011",Ohio State,,Iowa,,70,48,N
2011,Big Ten Conference,"Wed, Jan 19, 2011",Purdue,,Penn State,,63,62,N
2011,Big Ten Conference,"Thu, Jan 20, 2011",Wisconsin,,Indiana,,69,60,N
2011,Big Ten Conference,"Sat, Jan 22, 2011",Illinois,,Ohio State,,68,73,N
2011,Big Ten Conference,"Sat, Jan 22, 2011",Michigan,,Minnesota,,64,69,N
2011,Big Ten Conference,"Sat, Jan 22, 2011",Purdue,,Michigan State,,86,76,N
2011,Big Ten Conference,"Sun, Jan 23, 2011",Iowa,,Indiana,,91,77,N
2011,Big Ten Conference,"Sun, Jan 23, 2011",Northwestern,,Wisconsin,,46,78,N
2011,Big Ten Conference,"Tue, Jan 25, 2011",Ohio State,,Purdue,,87,64,N
2011,Big Ten Conference,"Wed, Jan 26, 2011",Minnesota,,Northwestern,,81,70,N
2011,Big Ten Conference,"Wed, Jan 26, 2011",Penn State,,Iowa,,65,51,N
2011,Big Ten Conference,"Thu, Jan 27, 2011",Indiana,,Illinois,,52,49,N
2011,Big Ten Conference,"Thu, Jan 27, 2011",Michigan State,,Michigan,,57,61,N
2011,Big Ten Conference,"Sat, Jan 29, 2011",Northwestern,,Ohio State,,57,58,N
2011,Big Ten Conference,"Sat, Jan 29, 2011",Penn State,,Wisconsin,,56,52,N
2011,Big Ten Conference,"Sat, Jan 29, 2011",Purdue,,Minnesota,,73,61,N
2011,Big Ten Conference,"Sun, Jan 30, 2011",Michigan,,Iowa,,87,73,N
2011,Big Ten Conference,"Sun, Jan 30, 2011",Michigan State,,Indiana,,84,83,N
2011,Big Ten Conference,"Tue, Feb 1, 2011",Illinois,,Penn State,,68,51,N
2011,Big Ten Conference,"Tue, Feb 1, 2011",Wisconsin,,Purdue,,66,59,N
2011,Big Ten Conference,"Wed, Feb 2, 2011",Indiana,,Minnesota,,60,57,N
2011,Big Ten Conference,"Wed, Feb 2, 2011",Iowa,,Michigan State,,72,52,N
2011,Big Ten Conference,"Thu, Feb 3, 2011",Ohio State,,Michigan,,62,53,N
2011,Big Ten Conference,"Sat, Feb 5, 2011",Indiana,,Iowa,,63,64,N
2011,Big Ten Conference,"Sat, Feb 5, 2011",Northwestern,,Illinois,,71,70,N
2011,Big Ten Conference,"Sun, Feb 6, 2011",Minnesota,,Ohio State,,69,82,N
2011,Big Ten Conference,"Sun, Feb 6, 2011",Penn State,,Michigan,,62,65,N
2011,Big Ten Conference,"Sun, Feb 6, 2011",Wisconsin,,Michigan State,,82,56,N
2011,Big Ten Conference,"Tue, Feb 8, 2011",Purdue,,Indiana,,67,53,N
2011,Big Ten Conference,"Wed, Feb 9, 2011",Iowa,,Wisconsin,,59,62,N
2011,Big Ten Conference,"Wed, Feb 9, 2011",Michigan,,Northwestern,,75,66,N
2011,Big Ten Conference,"Thu, Feb 10, 2011",Michigan State,,Penn State,,75,57,N
2011,Big Ten Conference,"Thu, Feb 10, 2011",Minnesota,,Illinois,,62,71,N
2011,Big Ten Conference,"Sat, Feb 12, 2011",Michigan,,Indiana,,73,69,N
2011,Big Ten Conference,"Sat, Feb 12, 2011",Wisconsin,,Ohio State,,71,67,N
2011,Big Ten Conference,"Sun, Feb 13, 2011",Illinois,,Purdue,,70,81,N
2011,Big Ten Conference,"Sun, Feb 13, 2011",Iowa,,Minnesota,,45,62,N
2011,Big Ten Conference,"Sun, Feb 13, 2011",Penn State,,Northwestern,,65,41,N
2011,Big Ten Conference,"Tue, Feb 15, 2011",Ohio State,,Michigan State,,71,61,N
2011,Big Ten Conference,"Wed, Feb 16, 2011",Illinois,,Michigan,,54,52,N
2011,Big Ten Conference,"Wed, Feb 16, 2011",Purdue,,Wisconsin,,70,62,N
2011,Big Ten Conference,"Thu, Feb 17, 2011",Northwestern,,Iowa,,73,70,N
2011,Big Ten Conference,"Thu, Feb 17, 2011",Penn State,,Minnesota,,66,63,N
2011,Big Ten Conference,"Sat, Feb 19, 2011",Indiana,,Northwestern,,64,70,N
2011,Big Ten Conference,"Sat, Feb 19, 2011",Iowa,,Michigan,,72,75,N
2011,Big Ten Conference,"Sat, Feb 19, 2011",Michigan State,,Illinois,,61,57,N
2011,Big Ten Conference,"Sun, Feb 20, 2011",Purdue,,Ohio State,,76,63,N
2011,Big Ten Conference,"Sun, Feb 20, 2011",Wisconsin,,Penn State,,76,66,N
2011,Big Ten Conference,"Tue, Feb 22, 2011",Minnesota,,Michigan State,,48,53,N
2011,Big Ten Conference,"Tue, Feb 22, 2011",Ohio State,,Illinois,,89,70,N
2011,Big Ten Conference,"Wed, Feb 23, 2011",Indiana,,Purdue,,61,72,N
2011,Big Ten Conference,"Wed, Feb 23, 2011",Michigan,,Wisconsin,,52,53,N
2011,Big Ten Conference,"Thu, Feb 24, 2011",Northwestern,,Penn State,,52,66,N
2011,Big Ten Conference,"Sat, Feb 26, 2011",Illinois,,Iowa,,81,68,N
2011,Big Ten Conference,"Sat, Feb 26, 2011",Minnesota,,Michigan,,63,70,N
2011,Big Ten Conference,"Sun, Feb 27, 2011",Michigan State,,Purdue,,47,67,N
2011,Big Ten Conference,"Sun, Feb 27, 2011",Ohio State,,Indiana,,82,61,N
2011,Big Ten Conference,"Sun, Feb 27, 2011",Wisconsin,,Northwestern,,78,63,N
2011,Big Ten Conference,"Tue, Mar 1, 2011",Penn State,,Ohio State,,61,82,N
2011,Big Ten Conference,"Tue, Mar 1, 2011",Purdue,,Illinois,,75,67,N
2011,Big Ten Conference,"Wed, Mar 2, 2011",Michigan State,,Iowa,,85,66,N
2011,Big Ten Conference,"Wed, Mar 2, 2011",Northwestern,,Minnesota,,68,57,N
2011,Big Ten Conference,"Thu, Mar 3, 2011",Indiana,,Wisconsin,,67,77,N
2011,Big Ten Conference,"Sat, Mar 5, 2011",Illinois,,Indiana,,72,48,N
