season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2019,Big 12 Conference,"Wed, Jan 2, 2019",Kansas,,Oklahoma,,70,63,N
2019,Big 12 Conference,"Wed, Jan 2, 2019",Kansas State,,Texas,,47,67,N
2019,Big 12 Conference,"Wed, Jan 2, 2019",Oklahoma State,,Iowa State,,63,69,N
2019,Big 12 Conference,"Wed, Jan 2, 2019",West Virginia,,Texas Tech,,59,62,N
2019,Big 12 Conference,"Sat, Jan 5, 2019",Iowa State,,Kansas,,77,60,N
2019,Big 12 Conference,"Sat, Jan 5, 2019",Oklahoma,,Oklahoma State,,74,64,N
2019,Big 12 Conference,"Sat, Jan 5, 2019",Texas,,West Virginia,,61,54,N
2019,Big 12 Conference,"Sat, Jan 5, 2019",Texas Christian,,Baylor,,85,81,N
2019,Big 12 Conference,"Sat, Jan 5, 2019",Texas Tech,,Kansas State,,63,57,N
2019,Big 12 Conference,"Tue, Jan 8, 2019",Baylor,,Iowa State,,73,70,N
2019,Big 12 Conference,"Tue, Jan 8, 2019",Oklahoma State,,Texas,,61,58,N
2019,Big 12 Conference,"Tue, Jan 8, 2019",Texas Tech,,Oklahoma,,66,59,N
2019,Big 12 Conference,"Wed, Jan 9, 2019",Kansas,,Texas Christian,,77,68,N
2019,Big 12 Conference,"Wed, Jan 9, 2019",Kansas State,,West Virginia,,71,69,N
2019,Big 12 Conference,"Sat, Jan 12, 2019",Baylor,,Kansas,,68,73,N
2019,Big 12 Conference,"Sat, Jan 12, 2019",Iowa State,,Kansas State,,57,58,N
2019,Big 12 Conference,"Sat, Jan 12, 2019",Oklahoma,,Texas Christian,,76,74,N
2019,Big 12 Conference,"Sat, Jan 12, 2019",Texas,,Texas Tech,,62,68,N
2019,Big 12 Conference,"Sat, Jan 12, 2019",West Virginia,,Oklahoma State,,77,85,N
2019,Big 12 Conference,"Mon, Jan 14, 2019",Kansas,,Texas,,80,78,N
2019,Big 12 Conference,"Mon, Jan 14, 2019",Oklahoma State,,Baylor,,69,73,N
2019,Big 12 Conference,"Tue, Jan 15, 2019",Texas Christian,,West Virginia,,98,67,N
2019,Big 12 Conference,"Wed, Jan 16, 2019",Oklahoma,,Kansas State,,61,74,N
2019,Big 12 Conference,"Wed, Jan 16, 2019",Texas Tech,,Iowa State,,64,68,N
2019,Big 12 Conference,"Sat, Jan 19, 2019",Baylor,,Texas Tech,,73,62,N
2019,Big 12 Conference,"Sat, Jan 19, 2019",Iowa State,,Oklahoma State,,72,59,N
2019,Big 12 Conference,"Sat, Jan 19, 2019",Kansas State,,Texas Christian,,65,55,N
2019,Big 12 Conference,"Sat, Jan 19, 2019",Texas,,Oklahoma,,75,72,N
2019,Big 12 Conference,"Sat, Jan 19, 2019",West Virginia,,Kansas,,65,64,N
2019,Big 12 Conference,"Mon, Jan 21, 2019",Kansas,,Iowa State,,80,76,N
2019,Big 12 Conference,"Mon, Jan 21, 2019",West Virginia,,Baylor,,73,85,N
2019,Big 12 Conference,"Tue, Jan 22, 2019",Kansas State,,Texas Tech,,58,45,N
2019,Big 12 Conference,"Wed, Jan 23, 2019",Oklahoma State,,Oklahoma,,61,70,N
