season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2016,Pac-12 Conference,"Fri, Jan 1, 2016",California,,Colorado,,79,65,N
2016,Pac-12 Conference,"Fri, Jan 1, 2016",Stanford,,Utah,,70,68,N
2016,Pac-12 Conference,"Fri, Jan 1, 2016",Washington,,UCLA,,96,93,N
2016,Pac-12 Conference,"Fri, Jan 1, 2016",Washington State,,Southern California,,77,90,N
2016,Pac-12 Conference,"Sun, Jan 3, 2016",Arizona State,,Arizona,,82,94,N
2016,Pac-12 Conference,"Sun, Jan 3, 2016",California,,Utah,,71,58,N
2016,Pac-12 Conference,"Sun, Jan 3, 2016",Oregon State,,Oregon,,70,57,N
2016,Pac-12 Conference,"Sun, Jan 3, 2016",Stanford,,Colorado,,55,56,N
2016,Pac-12 Conference,"Sun, Jan 3, 2016",Washington,,Southern California,,87,85,N
2016,Pac-12 Conference,"Sun, Jan 3, 2016",Washington State,,UCLA,,85,78,N
2016,Pac-12 Conference,"Wed, Jan 6, 2016",Oregon,,California,,68,65,N
2016,Pac-12 Conference,"Wed, Jan 6, 2016",Oregon State,,Stanford,,72,78,N
2016,Pac-12 Conference,"Thu, Jan 7, 2016",Southern California,,Arizona State,,75,65,N
2016,Pac-12 Conference,"Thu, Jan 7, 2016",UCLA,,Arizona,,87,84,N
2016,Pac-12 Conference,"Fri, Jan 8, 2016",Colorado,,Utah,,54,56,N
2016,Pac-12 Conference,"Sat, Jan 9, 2016",Oregon State,,California,,77,71,N
2016,Pac-12 Conference,"Sat, Jan 9, 2016",Southern California,,Arizona,,103,101,N
2016,Pac-12 Conference,"Sat, Jan 9, 2016",UCLA,,Arizona State,,81,74,N
2016,Pac-12 Conference,"Sat, Jan 9, 2016",Washington State,,Washington,,95,99,N
2016,Pac-12 Conference,"Sun, Jan 10, 2016",Oregon,,Stanford,,71,58,N
2016,Pac-12 Conference,"Wed, Jan 13, 2016",Colorado,,Oregon State,,71,54,N
2016,Pac-12 Conference,"Wed, Jan 13, 2016",UCLA,,Southern California,,75,89,N
