season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2022,Pac-12 Conference,"Sun, Nov 28, 2021",Colorado,,Stanford,,80,76,N
2022,Pac-12 Conference,"Wed, Dec 1, 2021",Arizona State,,Washington State,,29,51,N
2022,Pac-12 Conference,"Wed, Dec 1, 2021",Southern California,,Utah,,93,73,N
2022,Pac-12 Conference,"Wed, Dec 1, 2021",UCLA,,Colorado,,73,61,N
2022,Pac-12 Conference,"Thu, Dec 2, 2021",California,,Oregon State,,73,61,N
2022,Pac-12 Conference,"Sat, Dec 4, 2021",Washington State,,Southern California,,61,63,N
2022,Pac-12 Conference,"Sun, Dec 5, 2021",Oregon,,Arizona State,,67,69,N
2022,Pac-12 Conference,"Sun, Dec 5, 2021",Oregon State,,Arizona,,65,90,N
2022,Pac-12 Conference,"Sun, Dec 5, 2021",Utah,,California,,66,58,N
2022,Pac-12 Conference,"Sun, Dec 12, 2021",Stanford,,Oregon,,72,69,N
2022,Pac-12 Conference,"Thu, Dec 30, 2021",Oregon State,,Utah,,88,76,N
2022,Pac-12 Conference,"Sat, Jan 1, 2022",Oregon,,Utah,,79,66,N
2022,Pac-12 Conference,"Sun, Jan 2, 2022",California,,Arizona State,,74,50,N
2022,Pac-12 Conference,"Mon, Jan 3, 2022",Arizona,,Washington,,95,79,N
2022,Pac-12 Conference,"Thu, Jan 6, 2022",California,,Southern California,,63,77,N
2022,Pac-12 Conference,"Thu, Jan 6, 2022",Colorado,,Washington State,,83,78,N
2022,Pac-12 Conference,"Thu, Jan 6, 2022",Utah,,Washington,,68,74,N
2022,Pac-12 Conference,"Sat, Jan 8, 2022",California,,UCLA,,52,60,N
2022,Pac-12 Conference,"Sat, Jan 8, 2022",Utah,,Washington State,,61,77,N
2022,Pac-12 Conference,"Sun, Jan 9, 2022",Colorado,,Washington,,78,64,N
2022,Pac-12 Conference,"Mon, Jan 10, 2022",Oregon State,,Oregon,,76,78,N
2022,Pac-12 Conference,"Tue, Jan 11, 2022",Stanford,,Southern California,,75,69,N
2022,Pac-12 Conference,"Wed, Jan 12, 2022",Washington,,California,,64,55,N
2022,Pac-12 Conference,"Thu, Jan 13, 2022",Arizona,,Colorado,,76,55,N
2022,Pac-12 Conference,"Thu, Jan 13, 2022",Southern California,,Oregon State,,81,71,N
2022,Pac-12 Conference,"Thu, Jan 13, 2022",UCLA,,Oregon,,81,84,N
2022,Pac-12 Conference,"Thu, Jan 13, 2022",Washington State,,Stanford,,57,62,N
2022,Pac-12 Conference,"Sat, Jan 15, 2022",Arizona,,Utah,,82,64,N
2022,Pac-12 Conference,"Sat, Jan 15, 2022",Arizona State,,Colorado,,57,75,N
2022,Pac-12 Conference,"Sat, Jan 15, 2022",Southern California,,Oregon,,69,79,N
2022,Pac-12 Conference,"Sat, Jan 15, 2022",UCLA,,Oregon State,,81,65,N
2022,Pac-12 Conference,"Sat, Jan 15, 2022",Washington,,Stanford,,67,64,N
2022,Pac-12 Conference,"Sat, Jan 15, 2022",Washington State,,California,,65,57,N
2022,Pac-12 Conference,"Mon, Jan 17, 2022",Arizona State,,Utah,,64,62,N
2022,Pac-12 Conference,"Thu, Jan 20, 2022",Colorado,,Southern California,,58,61,N
2022,Pac-12 Conference,"Thu, Jan 20, 2022",Oregon State,,Washington,,72,82,N
2022,Pac-12 Conference,"Thu, Jan 20, 2022",Stanford,,Arizona,,57,85,N
2022,Pac-12 Conference,"Thu, Jan 20, 2022",Utah,,UCLA,,58,63,N
2022,Pac-12 Conference,"Sat, Jan 22, 2022",Colorado,,UCLA,,65,71,N
2022,Pac-12 Conference,"Sat, Jan 22, 2022",Stanford,,Arizona State,,79,76,N
2022,Pac-12 Conference,"Sat, Jan 22, 2022",Utah,,Southern California,,67,79,N
2022,Pac-12 Conference,"Sun, Jan 23, 2022",California,,Arizona,,71,96,N
2022,Pac-12 Conference,"Sun, Jan 23, 2022",Oregon,,Washington,,84,56,N
2022,Pac-12 Conference,"Mon, Jan 24, 2022",Southern California,,Arizona State,,78,56,N
2022,Pac-12 Conference,"Tue, Jan 25, 2022",Oregon,,Colorado,,78,82,N
2022,Pac-12 Conference,"Tue, Jan 25, 2022",UCLA,,Arizona,,75,59,N
2022,Pac-12 Conference,"Wed, Jan 26, 2022",Washington State,,Utah,,71,54,N
2022,Pac-12 Conference,"Thu, Jan 27, 2022",Southern California,,Stanford,,61,64,N
2022,Pac-12 Conference,"Thu, Jan 27, 2022",UCLA,,California,,81,57,N
2022,Pac-12 Conference,"Thu, Jan 27, 2022",Washington,,Colorado,,60,58,N
2022,Pac-12 Conference,"Sat, Jan 29, 2022",Arizona,,Arizona State,,67,56,N
2022,Pac-12 Conference,"Sat, Jan 29, 2022",Oregon,,Oregon State,,78,56,N
