season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2012,Big 12 Conference,"Mon, Jan 2, 2012",Baylor,,Texas A&M,,61,52,N
2012,Big 12 Conference,"Tue, Jan 3, 2012",Missouri,,Oklahoma,,87,49,N
2012,Big 12 Conference,"Wed, Jan 4, 2012",Iowa State,,Texas,,77,71,N
2012,Big 12 Conference,"Wed, Jan 4, 2012",Kansas,,Kansas State,,67,49,N
2012,Big 12 Conference,"Wed, Jan 4, 2012",Oklahoma State,,Texas Tech,,67,59,N
2012,Big 12 Conference,"Sat, Jan 7, 2012",Kansas State,,Missouri,,75,59,N
2012,Big 12 Conference,"Sat, Jan 7, 2012",Oklahoma,,Kansas,,61,72,N
2012,Big 12 Conference,"Sat, Jan 7, 2012",Texas,,Oklahoma State,,58,49,N
2012,Big 12 Conference,"Sat, Jan 7, 2012",Texas A&M,,Iowa State,,50,74,N
2012,Big 12 Conference,"Sat, Jan 7, 2012",Texas Tech,,Baylor,,60,73,N
2012,Big 12 Conference,"Mon, Jan 9, 2012",Oklahoma State,,Oklahoma,,72,65,N
2012,Big 12 Conference,"Tue, Jan 10, 2012",Kansas State,,Baylor,,73,75,N
2012,Big 12 Conference,"Wed, Jan 11, 2012",Iowa State,,Missouri,,69,76,N
2012,Big 12 Conference,"Wed, Jan 11, 2012",Texas,,Texas A&M,,61,51,N
2012,Big 12 Conference,"Wed, Jan 11, 2012",Texas Tech,,Kansas,,46,81,N
2012,Big 12 Conference,"Sat, Jan 14, 2012",Baylor,,Oklahoma State,,106,65,N
2012,Big 12 Conference,"Sat, Jan 14, 2012",Kansas,,Iowa State,,82,73,N
2012,Big 12 Conference,"Sat, Jan 14, 2012",Missouri,,Texas,,84,73,N
2012,Big 12 Conference,"Sat, Jan 14, 2012",Oklahoma,,Kansas State,,82,73,N
2012,Big 12 Conference,"Sat, Jan 14, 2012",Texas A&M,,Texas Tech,,67,54,N
