season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2015,Pac-12 Conference,"Fri, Jan 2, 2015",California,,Washington,,81,75,N
2015,Pac-12 Conference,"Fri, Jan 2, 2015",Colorado,,UCLA,,62,56,N
2015,Pac-12 Conference,"Fri, Jan 2, 2015",Stanford,,Washington State,,71,56,N
2015,Pac-12 Conference,"Fri, Jan 2, 2015",Utah,,Southern California,,79,55,N
2015,Pac-12 Conference,"Sat, Jan 3, 2015",Oregon,,Oregon State,,71,59,N
2015,Pac-12 Conference,"Sun, Jan 4, 2015",Arizona,,Arizona State,,73,49,N
2015,Pac-12 Conference,"Sun, Jan 4, 2015",California,,Washington State,,66,69,N
2015,Pac-12 Conference,"Sun, Jan 4, 2015",Colorado,,Southern California,,86,65,N
2015,Pac-12 Conference,"Sun, Jan 4, 2015",Stanford,,Washington,,68,60,N
2015,Pac-12 Conference,"Sun, Jan 4, 2015",Utah,,UCLA,,71,39,N
2015,Pac-12 Conference,"Wed, Jan 7, 2015",Southern California,,California,,71,57,N
2015,Pac-12 Conference,"Wed, Jan 7, 2015",Utah,,Colorado,,74,49,N
2015,Pac-12 Conference,"Thu, Jan 8, 2015",Oregon,,Arizona,,62,80,N
2015,Pac-12 Conference,"Thu, Jan 8, 2015",Oregon State,,Arizona State,,55,47,N
2015,Pac-12 Conference,"Thu, Jan 8, 2015",UCLA,,Stanford,,86,81,N
2015,Pac-12 Conference,"Sat, Jan 10, 2015",Oregon,,Arizona State,,59,56,N
2015,Pac-12 Conference,"Sat, Jan 10, 2015",Washington,,Washington State,,77,80,N
2015,Pac-12 Conference,"Sun, Jan 11, 2015",Oregon State,,Arizona,,58,56,N
2015,Pac-12 Conference,"Sun, Jan 11, 2015",Southern California,,Stanford,,76,78,N
2015,Pac-12 Conference,"Sun, Jan 11, 2015",UCLA,,California,,73,54,N
2015,Pac-12 Conference,"Wed, Jan 14, 2015",California,,Stanford,,59,69,N
